,City,Country,Lat,Lng,Hotel Name
361,camacha,PT,33.08,-16.33,
362,chapais,CA,49.78,-74.85,
363,muros,ES,42.78,-9.06,
364,las navas,PL,49.74,19.43,
365,yorkton,CA,51.22,-102.47,
366,galveston,US,29.37,-94.97,
367,samarai,PG,-10.62,150.67,
368,kismayo,SO,-0.36,42.55,
369,san isidro,ML,13.3,-4.9,
370,villarrubia de los ojos,ES,37.85,-4.9,
371,kavaratti,IN,10.57,72.64,
372,vila velha,PT,42.03,-8.16,
373,oistins,BB,13.07,-59.53,
374,namatanai,PG,-3.67,152.43,
375,moron,AR,-34.65,-58.62,
376,hailar,CN,49.2,119.7,
377,kerrville,US,30.05,-99.14,
378,rundu,,-17.93,19.77,
379,moose factory,US,43.66,-110.72,
380,saint-pierre,RE,-21.34,55.48,
381,luwuk,ID,-0.95,122.79,
382,santa rosa,PH,17.49,120.43,
383,sabang,ID,5.89,95.32,
384,babu,CN,24.42,111.52,
385,jalingo,NG,8.88,11.37,
386,cidreira,BR,-30.18,-50.21,
387,garowe,SO,8.41,48.48,
388,yeniseysk,RU,58.45,92.17,
389,lata,PT,40.16,-8.33,
390,sturgeon bay,US,40.38,-80.21,
391,biltine,TD,14.53,20.92,
392,tyrma,RU,50.08,132.17,
393,husavik,IS,66.04,-17.34,
394,ahipara,NZ,-35.17,173.17,
395,mabaruma,GY,8.2,-59.78,
396,tual,ID,-5.67,132.75,
397,tikhvin,RU,59.65,33.53,
398,bagdarin,RU,54.43,113.6,
399,chaihe,CN,44.77,129.7,
400,port lincoln,CD,-7.03,29.76,
401,artyom,AZ,40.47,50.33,
402,calvia,ES,39.57,2.51,
403,porto tolle,PT,41.15,-8.61,
404,tyulgan,RU,52.34,56.17,
405,bilibino,RU,68.05,166.44,
406,oksfjord,NO,70.24,22.35,
407,banda aceh,IN,25.48,80.33,
408,huntington,US,38.42,-82.45,
409,wadi musa,IN,17.07,76.98,
410,boguchany,RU,58.38,97.45,
411,puertollano,ES,38.69,-4.11,
412,geraldton,AU,-28.77,114.6,
413,gunnedah,AU,-30.98,150.25,
414,skelleftea,SE,64.75,20.95,
415,champerico,GT,14.3,-91.92,
416,goundam,ML,16.41,-3.67,
417,birjand,IR,32.87,59.22,
418,lubango,AO,-14.92,13.49,
419,alfonsine,IT,44.51,12.06,
420,oussouye,SN,12.48,-16.55,
421,luau,AO,-10.71,22.22,
422,talcahuano,CL,-36.72,-73.12,
423,loa janan,US,38.4,-111.64,
424,kindu,CD,-2.95,25.95,
425,koboko,UG,3.41,30.96,
426,barsi,IN,18.23,75.7,
427,goedereede,NL,51.82,3.98,
428,mugur-aksy,RU,50.35,90.5,
429,maniitsoq,GL,65.42,-52.9,
430,formosa do rio preto,AR,-26.18,-58.18,
431,antalaha,MG,-14.9,50.28,
432,tutoia,BR,-2.76,-42.27,
433,qesarya,IL,32.52,34.9,
434,newport,GB,51.59,-3.0,
435,beyneu,KZ,45.32,55.2,
436,lunglei,IN,22.88,92.73,
437,payo,ID,-3.75,103.64,
438,waipawa,NZ,-41.41,175.52,
439,schwarzenberg,DE,50.55,12.78,
440,khandyga,RU,62.67,135.6,
441,tongzi,CN,28.78,105.09,
442,purpe,RU,64.48,76.69,
443,seoul,KR,37.57,126.98,
444,iisalmi,FI,63.56,27.19,
445,nyurba,RU,63.28,118.33,
446,buta,CD,2.79,24.73,
447,mao,ES,39.89,4.27,
448,mount isa,GB,53.66,-1.85,
449,montrose,US,38.42,-108.27,
450,jibuti,DJ,11.5,42.5,
451,kazachinskoye,RU,57.7,93.28,
452,kailua,US,21.4,-157.74,
453,naze,JP,28.37,129.48,
454,kiama,AU,-34.68,150.87,
455,puebloviejo,CO,10.99,-74.28,
456,ayr,GB,55.46,-4.63,
457,pacifica,US,37.61,-122.49,
458,qasigiannguit,GL,68.82,-51.19,
459,nabire,ID,-3.37,135.48,
460,san carlos de bariloche,ML,13.3,-4.9,
461,morlaix,FR,48.58,-4.0,
462,formoso do araguaia,BR,-14.95,-46.23,
463,hervey bay,US,33.5,-93.78,
464,palma soriano,ES,39.57,2.65,
465,gat,IL,31.61,34.76,
466,terney,RU,45.05,136.61,
467,mikhaylovka,RU,50.06,43.24,
468,sao filipe,IN,20.51,76.21,
469,flinders,AU,-34.58,150.86,
470,puerto escondido,ES,36.59,-6.23,
471,deputatskiy,RU,69.3,139.9,
472,port-gentil,GA,-0.72,8.78,
473,ancud,CL,-41.87,-73.82,
474,san mateo del mar,ML,13.3,-4.9,
475,san cristobal,ML,13.3,-4.9,
476,oktyabrskoye,RU,43.06,44.74,
477,nizhniy tsasuchey,RU,45.39,39.24,
478,mocuba,MZ,-16.84,36.99,
479,yaan,NG,7.38,8.57,
480,nagorsk,RU,59.32,50.81,
481,fillmore,US,43.67,-92.1,
482,sundargarh,IN,22.12,84.03,
483,kyra,RU,49.58,111.98,
484,nuevo progreso,US,33.8,-117.15,
485,cascais,PT,38.7,-9.42,
486,libreville,GA,0.39,9.45,
487,yulara,AU,-25.24,130.99,
488,awbari,LY,26.59,12.78,
489,lima,PE,-12.04,-77.03,
490,zharkent,KZ,44.16,80.0,
491,umba,RU,66.69,34.34,
492,skjervoy,NO,70.03,20.97,
493,dudinka,RU,69.41,86.18,
494,bandarbeyla,SO,9.49,50.81,
495,nishihara,JP,26.18,127.76,
496,okato,NZ,-39.2,173.88,
497,bhayavadar,IN,21.85,70.25,
498,chatellerault,FR,46.8,0.53,
499,rabak,SD,13.18,32.74,
500,tchibanga,GA,-2.85,11.03,
501,eaton socon,US,42.6,-84.85,
502,nome,US,64.5,-165.41,
503,dera gopipur,ET,8.33,39.32,
504,ponta pora,PT,38.73,-28.27,
505,boa viagem,CM,4.43,8.97,
506,leningradskiy,RU,69.38,178.42,
507,moroni,KM,-11.7,43.26,
508,ucluelet,CA,48.93,-125.55,
509,jining,CN,35.41,116.58,
510,grand river south east,US,38.88,-109.5,
511,kostomuksha,RU,64.57,30.58,
512,bonavista,CA,48.65,-53.11,
513,kisaran,ID,2.98,99.62,
514,bang saphan,CM,9.87,13.98,
515,boa vista,CM,4.43,8.97,
516,jinchang,CN,38.5,102.17,
517,hit,IQ,33.64,42.83,
518,zarand,IR,30.81,56.56,
519,mata,PT,40.68,-7.46,
520,buchen,DE,49.52,9.32,
521,baeza,ES,37.99,-3.47,
522,hirado,JP,33.36,129.55,
523,dharchula,IN,29.85,80.53,
524,sohag,EG,26.56,31.69,
525,marienburg,PL,54.04,19.03,
526,maine-soroa,NE,13.21,12.02,
527,fukue,JP,32.69,128.84,
528,carahue,CL,-38.7,-73.17,
529,isangel,VU,-19.55,169.27,
530,kalispell,US,48.2,-114.31,
531,pimentel,PE,-6.84,-79.93,
532,zyryanka,RU,65.75,150.85,
533,swan hill,PH,18.22,121.38,
534,chornobay,UA,49.67,32.32,
535,soto la marina,AR,-32.81,-61.4,
536,ngunguru,NZ,-35.62,174.5,
537,shubarshi,KZ,48.59,57.19,
538,santa catarina de tepehuanes,PH,17.49,120.43,
539,antofagasta,CL,-23.65,-70.4,
540,tigil,RU,57.8,158.67,
541,ocean springs,US,39.9,-74.22,
542,marathon,US,44.9,-89.77,
543,manzanillo,CU,20.34,-77.12,
544,mahibadhoo,MV,3.78,72.97,
545,uruacu,BR,-14.52,-49.14,
546,moerai,PF,-22.43,-151.33,
547,vega de alatorre,US,35.24,-102.43,
548,labuhan,ID,-6.88,112.21,
549,buraydah,SA,26.33,43.98,
550,shelburne,CA,44.08,-80.2,
551,komsomolskiy,UZ,40.43,71.72,
552,zemio,CF,5.03,25.14,
553,dalvik,IS,65.97,-18.53,
554,sao gabriel da cachoeira,IN,20.51,76.21,
555,mangrol,IN,21.12,70.12,
